Name,Beds,Price
Hamburg,2,2300
Hamburg,1,1935
Hamburg,1,2353
Hamburg,1,1790
Hamburg,3,690
Hamburg,1,2190
Hamburg,1,2199
Hamburg,1,2200
Hamburg,1,1299
Hamburg,1,1559
Hamburg,1,1649
Kaiserslautern,1,1819
Kaiserslautern,1,2461
Kaiserslautern,1,2071
Kaiserslautern,1,2194
Karlsruhe,1,1490
Karlsruhe,2,2015
Karlsruhe,1,1440
Karlsruhe,1,1440
Karlsruhe,2,2200
Karlsruhe,1,1440
Karlsruhe,1,1590
Karlsruhe,1,1440
Karlsruhe,1,1440
Karlsruhe,1,1740
Karlsruhe,1,1440
Karlsruhe,1,1440
Karlsruhe,1,2140
Karlsruhe,1,2140
Karlsruhe,1,2140
"Berlin,",2,3279
Frankfurt,2,2239
Frankfurt,1,2099
Frankfurt,1,2099
Frankfurt,1,1599
Frankfurt,1,1599
Frankfurt,1,1489
Frankfurt,1,1419
Frankfurt,1,1800
Berlin,1,2300
Berlin,1,1284
Frankfurt,1,2150
Bensheim,2,1590
Erlangen,1,975
Berlin,1,2183
Berlin,1,2290
Berlin,1,2100
Berlin,1,665
Berlin,5,705
Berlin,5,755
Bonn,1,2194
Bonn,1,900
Bonn,1,1490
Bonn,1,995
Bonn,1,1419
Bonn,1,1808
Bonn,1,1390
Bonn,1,1290
Bonn,1,1345
Bonn,1,1150
Bonn,1,1290
Bonn,1,1458
Bonn,1,1250
Bonn,1,1850
Bonn,1,2200
Bonn,1,1543
Aachen,1,1693
Aachen,1,1025
Aachen,1,1368
Aachen,1,2379
Aachen,1,1099
Aachen,3,2470
Aachen,3,1749
Aachen,1,849
Aachen,1,1586
Aachen,1,2223
Aachen,1,2379
Kiel,1,1295
Kiel,1,1249
Kiel,1,1295
Kiel,1,1295
Kiel,1,2010
Kiel,1,910
Kiel,1,1637
Salzgitter,1,1989
Trier,1,1102
Regensburg,1,2400
Eschborn,1,1350
Cologne,2,1600
Cologne,1,1340
Cologne,1,1400
Cologne,1,2354
Cologne,2,1600
Cologne,1,1607
Cologne,1,1398
Cologne,1,1390
Cologne,1,1499
Cologne,1,2290
Cologne,2,1259
Cologne,2,2166
Cologne,1,1290
Cologne,2,2290
Cologne,1,1490
Cologne,1,1280
Cologne,1,1200
Cologne,2,2250
Cologne,1,999
Cologne,2,2495
"Berlin,",2,3279
Frankfurt,2,2239
Frankfurt,1,2099
Frankfurt,1,2099
Frankfurt,1,1599
Frankfurt,1,1599
Frankfurt,1,1489
Frankfurt,1,1419
Frankfurt,1,1800
Berlin,1,2300
Berlin,1,1284
Frankfurt,1,2150
Bensheim,2,1590
