Name,Beds,Price,Imputed Price
Aachen,1,1622.3333333333333,1622.3333333333333
Aachen,2,,1629.6877280594717
Aachen,3,2109.5,2109.5
Aachen,4,,1629.6877280594717
Aachen,5,,1629.6877280594717
Aachen,6,,1629.6877280594717
Augsburg,1,1723.875,1723.875
Augsburg,2,,1629.6877280594717
Augsburg,3,,1629.6877280594717
Augsburg,4,,1629.6877280594717
Augsburg,5,,1629.6877280594717
Augsburg,6,,1629.6877280594717
Bensheim,1,,1629.6877280594717
Bensheim,2,1590.0,1590.0
Bensheim,3,,1629.6877280594717
Bensheim,4,,1629.6877280594717
Bensheim,5,,1629.6877280594717
Bensheim,6,,1629.6877280594717
Berlin,1,1797.9204545454545,1797.9204545454545
Berlin,2,860.0,860.0
Berlin,3,810.0,810.0
Berlin,4,840.0,840.0
Berlin,5,745.5932203389831,745.5932203389831
Berlin,6,,1629.6877280594717
"Berlin,",1,,1629.6877280594717
"Berlin,",2,3228.0,3228.0
"Berlin,",3,,1629.6877280594717
"Berlin,",4,,1629.6877280594717
"Berlin,",5,,1629.6877280594717
"Berlin,",6,,1629.6877280594717
Bielefeld,1,1622.0,1622.0
Bielefeld,2,2083.0,2083.0
Bielefeld,3,,1629.6877280594717
Bielefeld,4,,1629.6877280594717
Bielefeld,5,,1629.6877280594717
Bielefeld,6,,1629.6877280594717
Bochum,1,874.25,874.25
Bochum,2,,1629.6877280594717
Bochum,3,,1629.6877280594717
Bochum,4,,1629.6877280594717
Bochum,5,,1629.6877280594717
Bochum,6,,1629.6877280594717
Bonn,1,1473.25,1473.25
Bonn,2,,1629.6877280594717
Bonn,3,,1629.6877280594717
Bonn,4,,1629.6877280594717
Bonn,5,,1629.6877280594717
Bonn,6,,1629.6877280594717
Braunschweig,1,1822.25,1822.25
Braunschweig,2,,1629.6877280594717
Braunschweig,3,,1629.6877280594717
Braunschweig,4,,1629.6877280594717
Braunschweig,5,,1629.6877280594717
Braunschweig,6,,1629.6877280594717
Cologne,1,1502.8461538461538,1502.8461538461538
Cologne,2,1951.4285714285713,1951.4285714285713
Cologne,3,,1629.6877280594717
Cologne,4,,1629.6877280594717
Cologne,5,,1629.6877280594717
Cologne,6,,1629.6877280594717
Darmstadt,1,1828.142857142857,1828.142857142857
Darmstadt,2,,1629.6877280594717
Darmstadt,3,,1629.6877280594717
Darmstadt,4,,1629.6877280594717
Darmstadt,5,,1629.6877280594717
Darmstadt,6,,1629.6877280594717
Dortmund,1,1153.4736842105262,1153.4736842105262
Dortmund,2,1300.0,1300.0
Dortmund,3,,1629.6877280594717
Dortmund,4,,1629.6877280594717
Dortmund,5,,1629.6877280594717
Dortmund,6,,1629.6877280594717
Dresden,1,1603.5,1603.5
Dresden,2,1592.0,1592.0
Dresden,3,,1629.6877280594717
Dresden,4,,1629.6877280594717
Dresden,5,,1629.6877280594717
Dresden,6,,1629.6877280594717
Duisburg,1,1826.0,1826.0
Duisburg,2,1717.5,1717.5
Duisburg,3,1782.0,1782.0
Duisburg,4,,1629.6877280594717
Duisburg,5,,1629.6877280594717
Duisburg,6,,1629.6877280594717
Erfurt,1,1524.75,1524.75
Erfurt,2,1801.0,1801.0
Erfurt,3,,1629.6877280594717
Erfurt,4,,1629.6877280594717
Erfurt,5,,1629.6877280594717
Erfurt,6,,1629.6877280594717
Erlangen,1,1202.4545454545455,1202.4545454545455
Erlangen,2,,1629.6877280594717
Erlangen,3,,1629.6877280594717
Erlangen,4,,1629.6877280594717
Erlangen,5,,1629.6877280594717
Erlangen,6,,1629.6877280594717
Eschborn,1,1350.0,1350.0
Eschborn,2,,1629.6877280594717
Eschborn,3,,1629.6877280594717
Eschborn,4,,1629.6877280594717
Eschborn,5,,1629.6877280594717
Eschborn,6,,1629.6877280594717
Essen,1,1248.75,1248.75
