city,number of pharmecies
Göttingen,1
Hilden,1
Aachen,1
Freiburg im Breisgau,1
Frankfurt,1
Schenefeld,1
Saarbrücken,1
Berlin,1
Bad Soden am Taunus,1
Trier,1
Trier,1
Trier,1
Halle,1
Siegen,1
Gelsenkirchen,1
Trier,1
Esslingen,1
Essen,1
Trier,1
Trier,1
Hilden,1
Leverkusen,1
Herten,1
Kaiserslautern,1
Glinde,1
Hagen,1
Trier,1
Trier,1
Oberhausen,1
Kaiserslautern,1
Münster,1
Trier,1
Eichenau,1
Trier,1
Fürth,1
Halle,1
Trier,1
Münster,1
Hilden,1
Kaiserslautern,1
Münster,1
Lübeck,1
Asperg,1
Jena,1
Herten,1
Neulußheim,1
Kornwestheim,1
Asperg,1
Essen,1
Krefeld,1
Bochum,1
Herne,1
Darmstadt,1
Münster,1
Bochum,1
Trier,1
Münster,1
Münster,1
Solingen,1
Essen,1
Trier,1
Trier,1
Trier,1
Trier,1
Bochum,1
Glinde,1
Heidelberg,1
Glinde,1
Würzburg,1
Fürth,1
Trier,1
Kiel,1
Trier,1
Herne,1
Göttingen,1
Trier,1
Oldenburg,1
Siegen,1
Ulm,1
Schenefeld,1
Hagen,1
Kiel,1
Ulm,1
Berlin,1
Fürth,1
Siegen,1
Halle,1
Münster,1
Regensburg,1
Heidelberg,1
Eichwalde,1
Herne,1
Münster,1
Düsseldorf,1
Berlin,1
Dresden,1
Berlin,1
