;;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr
;;1998/99;1998/99;1998/99;1999/00;1999/00;1999/00;2000/01;2000/01;2000/01;2001/02;2001/02;2001/02;2002/03;2002/03;2002/03;2003/04;2003/04;2003/04;2004/05;2004/05;2004/05;2005/06;2005/06;2005/06;2006/07;2006/07;2006/07;2007/08;2007/08;2007/08;2008/09;2008/09;2008/09;2009/10;2009/10;2009/10;2010/11;2010/11;2010/11;2011/12;2011/12;2011/12;2012/13;2012/13;2012/13;2013/14;2013/14;2013/14;2014/15;2014/15;2014/15;2015/16;2015/16;2015/16;2016/17;2016/17;2016/17;2017/18;2017/18;2017/18;2018/19;2018/19;2018/19;2019/20;2019/20;2019/20;2020/21;2020/21;2020/21;2021/22;2021/22;2021/22;2022/23;2022/23;2022/23
;;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht
;;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt
Vorklassen;Klassenstufe 8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Vorklassen;Klassenstufe 9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Vorklassen;Klassenstufe 10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Vorklassen;Jahrgangsstufe 11 / Einführungsphase E;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Vorklassen;Jahrgangsstufe 12 / Qualifizierungsphase Q1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Vorklassen;Jahrgangsstufe 13 / Qualifizierungsphase Q2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Vorklassen;Keine Angabe;15195;13750;28945;14491;12993;27484;13980;12456;26436;13506;12584;26090;9960;9198;19158;9944;9377;19321;9632;8978;18610;4271;3957;8228;4269;3892;8161;4611;4253;8864;4464;4237;8701;4799;4563;9362;4980;4628;9608;5001;4804;9805;5222;4826;10048;5559;5041;10600;5379;4988;10367;5470;5250;10720;5760;5329;11089;5752;5458;11210;4800;4506;9303;4863;4752;9615;5088;4737;9825;5330;5137;10467;5597;5349;10946
Vorklassen;Insgesamt;15195;13750;28945;14491;12993;27484;13980;12456;26436;13506;12584;26090;9960;9198;19158;9944;9377;19321;9632;8978;18610;4271;3957;8228;4269;3892;8161;4611;4253;8864;4464;4237;8701;4799;4563;9362;4980;4628;9608;5001;4804;9805;5222;4826;10048;5559;5041;10600;5379;4988;10367;5470;5250;10720;5760;5329;11089;5752;5458;11210;4800;4506;9303;4863;4752;9615;5088;4737;9825;5330;5137;10467;5597;5349;10946
Schulkindergärten;Klassenstufe 1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Schulkindergärten;Klassenstufe 2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Schulkindergärten;Klassenstufe 3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Schulkindergärten;Klassenstufe 4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Schulkindergärten;Klassenstufe 5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Schulkindergärten;Klassenstufe 6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Schulkindergärten;Klassenstufe 7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Schulkindergärten;Klassenstufe 8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Schulkindergärten;Klassenstufe 9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Schulkindergärten;Klassenstufe 10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Schulkindergärten;Jahrgangsstufe 11 / Einführungsphase E;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Schulkindergärten;Jahrgangsstufe 12 / Qualifizierungsphase Q1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Schulkindergärten;Jahrgangsstufe 13 / Qualifizierungsphase Q2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Schulkindergärten;Keine Angabe;25348;14569;39917;25758;13801;39559;24705;13229;37934;23753;12986;36739;23161;12468;35629;22574;12075;34649;19202;10194;29396;14412;7408;21820;13702;7198;20900;12605;6667;19272;12734;6642;19376;12124;6377;18501;12444;6681;19125;11911;6521;18432;11689;6139;17828;11157;5939;17096;10587;5767;16354;10516;5728;16244;10675;5828;16503;11047;5939;16986;11025;6012;17037;10953;6036;16989;10383;5922;16305;10199;5942;16141;10481;6103;16579
Schulkindergärten;Insgesamt;25348;14569;39917;25758;13801;39559;24705;13229;37934;23753;12986;36739;23161;12468;35629;22574;12075;34649;19202;10194;29396;14412;7408;21820;13702;7198;20900;12605;6667;19272;12734;6642;19376;12124;6377;18501;12444;6681;19125;11911;6521;18432;11689;6139;17828;11157;5939;17096;10587;5767;16354;10516;5728;16244;10675;5828;16503;11047;5939;16986;11025;6012;17037;10953;6036;16989;10383;5922;16305;10199;5942;16141;10481;6103;16579
Grundschulen;Klassenstufe 1;435222;416959;852181;417896;399783;817679;406855;386803;793658;393187;375630;768817;399669;383992;783661;418332;402150;820482;408059;390548;798607;405856;387984;793840;390509;373633;764142;372303;355167;727470;360792;347534;708326;356413;342168;698581;347658;332937;680595;349695;335754;685449;337894;324880;662774;336886;322992;659878;345079;332127;677206;344515;330875;675390;352293;338160;690453;347756;335176;682932;348894;335991;684885;352080;338604;690684;359016;348177;707193;370921;359495;730413;391283;380031;771311
Grundschulen;Klassenstufe 2;470134;449961;920095;436092;418909;855001;418441;402902;821343;407413;390037;797450;393117;379309;772426;399308;386207;785515;417425;404532;821957;409071;394476;803547;407867;392984;800851;383108;369533;752641;384515;369372;753887;365779;354663;720442;362463;349550;712013;355036;341487;696523;357029;343563;700592;346438;334441;680879;347726;334325;682051;357690;344620;702310;363745;349479;713224;370265;356618;726883;372651;359286;731937;372999;359703;732702;371538;359433;730971;378903;369733;748639;398051;387472;785523
Grundschulen;Klassenstufe 3;469022;450412;919434;463106;443013;906119;429174;413539;842713;413060;397928;810988;402359;385058;787417;388678;374702;763380;394579;381900;776479;413312;400737;814049;403571;389464;793035;400352;385324;785676;390593;376907;767500;382016;367156;749172;365192;353745;718937;361156;348729;709885;352902;340064;692966;352831;340510;693341;342393;331704;674097;343776;330899;674675;353249;341021;694270;355139;342385;697524;358167;345303;703473;358941;345516;704457;361341;348849;710187;360479;348597;709076;374508;365299;739807
Grundschulen;Klassenstufe 4;463485;445530;909015;462825;444601;907426;455669;438154;893823;424154;408943;833097;406994;392927;799921;396416;379830;776246;382284;369063;751347;388232;375903;764135;404873;392873;797746;394638;381534;776172;389861;376712;766573;379062;366789;745851;369358;355734;725092;353964;343169;697133;350139;338735;688874;342331;330236;672567;342372;330689;673061;334804;324679;659483;340220;327969;668189;349420;338108;687528;346152;334620;680769;349785;338112;687894;352959;340206;693165;351900;339878;691778;360177;348390;708567
Grundschulen;Klassenstufe 5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Grundschulen;Klassenstufe 6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Grundschulen;Klassenstufe 7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Grundschulen;Klassenstufe 8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Grundschulen;Klassenstufe 9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Grundschulen;Klassenstufe 10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Grundschulen;Jahrgangsstufe 11 / Einführungsphase E;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
