geo_point_2d;objektkate;objektart;objektname;objektzusa;i_beschr;i_zusinfo;strasse;hausnummer;ort;link;ptl_anschl;p_email;ostwert;hochwert;stadtbeznr;stadtbezbe;statbeznr;statbezibe;ubznr;ubz;sozialrnr;sozialrbe;aktionsrnr;aktionsrbz;kommune
51.57374628999727, 7.516457015025949;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Derner Kippshof;36 a;Dortmund;;;;397192.0999999638;5714673.599999887;2;Scharnhorst;210;Derne;212;Derne;051;Derne/Hostedde/Kirchderne/Grevel;;;Dortmund
51.52157928619571, 7.516731037753723;XE_SozialEinrichtung;Kindergarten;Ev. Kiga Jakobus;;;;Eichendorffstraße;29;Dortmund;;;;397093.44999996363;5708871.939999887;3;Brackel;330;Wambel;331;Wambel Dorf;063;Wambel;;;Dortmund
51.45720470642805, 7.4424767962613;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Eichhoffstraße;20;Dortmund;;;;391789.7899999528;5701820.269999848;6;Hombruch;670;Kirchhörde-Löttringhausen;676;Löttringhausen-Nord;093;Kirchhörde/Löttringhausen/Lücklemberg;;;Dortmund
51.50115834584059, 7.558401068950879;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Erbpachtstraße;44;Dortmund;;;;399939.5699999681;5706543.239999906;4;Aplerbeck;410;Aplerbeck;412;Marsbruchstraße;071;Aplerbeck;;;Dortmund
51.48353791008517, 7.494216215629352;XE_SozialEinrichtung;Kindergarten;Kath. Kiga Herz Jesu;;;;Ermlinghofer Straße;23;Dortmund;;;;395444.4599999604;5704673.459999876;5;Hörde;530;Hörde;533;Phönix-West;082;Hörde;082;Hörde;Dortmund
51.55500688304755, 7.595754113928926;XE_SozialEinrichtung;Kindergarten;Ev. Kiga Husen/Kurl;;;;Flemerskamp;116;Dortmund;;;;402647.0299999723;5712481.139999918;2;Scharnhorst;240;Kurl-Husen;244;Husen-Süd;052;Husen/Kurl/Lanstrop;;;Dortmund
51.53216583972349, 7.453398323093633;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Fliederstraße;27;Dortmund;;;;392724.659999955;5710140.179999854;20;Innenstadt-Nord;040;Hafen;041;Hafen;021;Hafen;021;Hafen;Dortmund
51.498803128403566, 7.420024616184544;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Friedrich-Henkel-Weg;16 a;Dortmund;;;;390329.8199999492;5706479.569999835;10;Innenstadt-West;030;Dorstfeld;032;Dorstfeld;014;Dorstfeld;014;Dorstfeld;Dortmund
51.50414582182447, 7.369257489493816;XE_SozialEinrichtung;Kindergarten;EI Kita DO-West e.V.;;;;Froschlake;10;Dortmund;;;;386819.3899999408;5707150.979999801;7;Lütgendortmund;740;Marten;741;Germania;102;Marten;102;Marten;Dortmund
51.552392290120395, 7.5466574243851605;XE_SozialEinrichtung;Kindergarten;Kath. Kiga Franziskus;;;;Gleiwitzstraße;287;Dortmund;;;;399237.6599999673;5712256.8699999;2;Scharnhorst;270;Scharnhorst-Ost;270;Scharnhorst-Ost;054;Scharnhorst-Ost;054;Scharnhorst-Ost;Dortmund
51.52214271160947, 7.447544942609171;XE_SozialEinrichtung;Kindergarten;Kath. Kiga St. Aposteln;;;;Gneisenaustraße;62 a;Dortmund;;;;392295.0299999537;5709034.159999851;20;Innenstadt-Nord;040;Hafen;042;Hafen-Süd;021;Hafen;021;Hafen;Dortmund
51.46058952496121, 7.411131225342398;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Grotenkamp;29-31;Dortmund;;;;389620.3199999475;5702243.449999829;6;Hombruch;660;Persebeck-Kruckel-Schnee;661;Persebeck;092;Menglinghausen;;;Dortmund
