geo_point_2d;objektkate;objektart;objektname;objektzusa;i_beschr;i_zusinfo;strasse;hausnummer;ort;link;ptl_anschl;p_email;ostwert;hochwert;stadtbeznr;stadtbezbe;statbeznr;statbezibe;ubznr;ubz;sozialrnr;sozialrbe;aktionsrnr;aktionsrbz;kommune
51.444419444635464, 7.45823547246066;XE_SozialEinrichtung;Kindergarten;imedo e.V. Montessori School Barbara House;;;;Spissenagelstraße;23;Dortmund;;;;392854.64999995497;5700375.339999856;6;Hombruch;620;Bittermark;620;Bittermark;093;Kirchhörde/Löttringhausen/Lücklemberg;;;Dortmund
51.52341287454335, 7.478555825451646;XE_SozialEinrichtung;Kindergarten;EI Bienchen  e.V.;;;;Stahlwerkstraße;30;Dortmund;;;;394449.29999995825;5709130.2199998675;20;Innenstadt-Nord;060;Borsigplatz;061;Borsigplatz;023;Borsigplatz;023;Borsigplatz;Dortmund
51.51079089606372, 7.4409133741005515;XE_SozialEinrichtung;Kindergarten;Ev. Kiga Martin;;;;Sternstraße;23;Dortmund;;;;391808.07999995287;5707781.569999847;10;Innenstadt-West;020;Dorstfelder Brücke;022;Dorstfelder Brücke;013;Dorstfelder Brücke;013;Dorstfelder Brücke;Dortmund
51.50733779636698, 7.5195221071896565;XE_SozialEinrichtung;Kindergarten;Ev. Kiga Heliand-Ost;;;;Stille Gasse;24;Dortmund;;;;397255.03999996383;5707284.289999887;30;Innenstadt-Ost;080;Westfalendamm;082;Gartenstadt-Nord;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;;Dortmund
51.527290083370175, 7.469697193853457;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Stollenstraße;40;Dortmund;;;;393843.77999995695;5709574.199999863;20;Innenstadt-Nord;050;Nordmarkt;054;Nordmarkt-Ost;022;Nordmarkt;022;Nordmarkt;Dortmund
51.47864414106018, 7.407433521233302;XE_SozialEinrichtung;Kindergarten;EI Maulwurf e.V.;;;;Stortsweg;50;Dortmund;;;;389407.11999994726;5704256.759999827;6;Hombruch;640;Eichlinghofen;641;Eichlinghofen;092;Menglinghausen;;;Dortmund
51.49791341159809, 7.502813707099447;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Strohnstraße;2;Dortmund;;;;396074.0999999616;5706259.839999882;30;Innenstadt-Ost;080;Westfalendamm;084;Gartenstadt-Süd;032;Südl. Gartenstadt/Ruhrallee/Westfalendamm;;;Dortmund
51.51409351957217, 7.421642276758726;XE_SozialEinrichtung;Kindergarten;Kath. Kiga St. Barbara;;;;Teutoburger Straße;16;Dortmund;;;;390478.7699999499;5708177.499999837;10;Innenstadt-West;030;Dorstfeld;031;Hallerey;014;Dorstfeld;014;Dorstfeld;Dortmund
51.51879303944992, 7.450299731736879;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Treibstraße;37;Dortmund;;;;392478.2499999543;5708657.609999853;20;Innenstadt-Nord;040;Hafen;043;Hafen-Südost;021;Hafen;021;Hafen;Dortmund
51.499792750330975, 7.403577510247818;XE_SozialEinrichtung;Kindergarten;EKK TEK Oberdorstfeld;;;;Trippestraße;16;Dortmund;;;;389190.6499999466;5706614.389999825;10;Innenstadt-West;030;Dorstfeld;033;Oberdorstfeld;014;Dorstfeld;014;Dorstfeld;Dortmund
51.44461604596505, 7.527112964212038;XE_SozialEinrichtung;Kindergarten;"EI ""Die Hasenburg""";;;;Vorhölter Straße;29;Dortmund;;;;397641.5099999642;5700298.709999893;5;Hörde;540;Holzen;542;Holzen;083;Höchsten/Holzen/Syburg;;;Dortmund
51.53930078269844, 7.513873513037639;XE_SozialEinrichtung;Kindergarten;EI Elternselbsthilfe DO-Nord e.V.;;;;Wambeler Heide;33;Dortmund;;;;396935.23999996344;5710846.689999886;2;Scharnhorst;260;Alt-Scharnhorst;262;Alt-Scharnhorst;053;Alt-Scharnhorst;;Wambeler Heide;Dortmund
51.54935104509855, 7.380610413340068;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Wattenscheidskamp;12-15;Dortmund;;;;387718.5499999429;5712160.479999809;9;Mengede;910;Bodelschwingh;910;Bodelschwingh;121;Bodelschwingh/Westerfilde;121;Bodelschwingh/Westerfilde;Dortmund
51.49306055789042, 7.506480451098809;XE_SozialEinrichtung;Kindergarten;Caritas-Montessori Kinderhaus am Phoenix-See;;;;Weingartenstraße;50;Dortmund;;;;396317.59999996214;5705714.979999883;5;Hörde;530;Hörde;531;Remberg;082;Hörde;082;Hörde;Dortmund
51.53296310572928, 7.395782815569926;XE_SozialEinrichtung;Kindergarten;AWO TEK Welkener Straße;;;;Welkener Straße;18a;Dortmund;;;;388730.5099999454;5710314.889999819;8;Huckarde;820;Huckarde;822;Erpinghofsiedlung;111;Deusen/Huckarde;;;Dortmund
51.46690805720147, 7.483374230786634;XE_SozialEinrichtung;Kindergarten;Ev. Kiga Wellinghofen;;;;Wellinghofer Amtsstraße;72 a;Dortmund;;;;394653.3699999589;5702839.68999987;5;Hörde;560;Wellinghofen;561;Wellinghofen;081;Benninghofen/Hacheney/Wellinghofen/Wichlinghofen;;;Dortmund
51.50083882973499, 7.4217127130784215;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Wetterstraße;36-38;Dortmund;;;;390451.8699999499;5706703.419999837;10;Innenstadt-West;030;Dorstfeld;032;Dorstfeld;014;Dorstfeld;014;Dorstfeld;Dortmund
51.49454920247305, 7.493582969822555;XE_SozialEinrichtung;Kindergarten;EI Löwenzahn e.V.;;;;Willem-van-Vloten-Straße;7 a;Dortmund;;;;395425.68999996025;5705898.869999875;5;Hörde;530;Hörde;531;Remberg;082;Hörde;082;Hörde;Dortmund
